year,age_group_in_years,count,population,crude_rate,crude_rate_lower_95,crude_rate_upper_95,crude_rate_standard_error
1999,< 1,0,3744604,0,0,0,0
1999,1-4,0,15136428,0,0,0,0
1999,5-9,Suppressed,20334315,Suppressed,Suppressed,Suppressed,Suppressed
1999,10-14,0,19935660,0,0,0,0
1999,15-19,Suppressed,19785979,Suppressed,Suppressed,Suppressed,Suppressed
1999,20-24,Suppressed,18328417,Suppressed,Suppressed,Suppressed,Suppressed
1999,25-29,19,19333894,0.098273012,0.059166184,0.153464698,0.022545375
1999,30-34,51,20371091,0.25035478,0.186405331,0.329170367,0.035056681
1999,35-39,158,22611624,0.698755649,0.5940492,0.816603136,0.055590015
1999,40-44,342,21924672,1.559886506,1.398927797,1.734287009,0.084349002
1999,45-49,642,19413875,3.306913226,3.056023788,3.572910059,0.130513455
1999,50-54,951,16718890,5.688176667,5.332354677,6.061498829,0.184451766
1999,55-59,1280,12922630,9.905104456,9.369840094,10.46297941,0.276856086
1999,60-64,1590,10551544,15.06888471,14.33721472,15.82820759,0.377904922
1999,65-69,2031,9416383,21.56879133,20.64084932,22.52770316,0.478597964
1999,70-74,2442,8763864,27.86442145,26.77011136,28.9919892,0.563867678
1999,75-79,2403,7251311,33.13883517,31.82696595,34.49089218,0.676021259
1999,80-84,1808,4820265,37.50831127,35.79910346,39.27804315,0.882121279
1999,85+,1295,4095902,31.6169674,29.9181967,33.38705962,0.878588121
2000,< 1,Suppressed,3804065,Suppressed,Suppressed,Suppressed,Suppressed
2000,1-4,0,15119430,0,0,0,0
2000,5-9,0,20194272,0,0,0,0
2000,10-14,Suppressed,20358437,Suppressed,Suppressed,Suppressed,Suppressed
2000,15-19,Suppressed,19998739,Suppressed,Suppressed,Suppressed,Suppressed
2000,20-24,Suppressed,18848983,Suppressed,Suppressed,Suppressed,Suppressed
2000,25-29,16,19044554,0.084013519,0.048020612,0.136431677,0.02100338
2000,30-34,58,20289179,0.285866668,0.217070026,0.369548885,0.037536132
2000,35-39,176,22382940,0.786313147,0.674432633,0.911451438,0.059270584
2000,40-44,360,22245365,1.618314647,1.455440745,1.794427778,0.085292671
2000,45-49,655,19972154,3.27956614,3.033183407,3.540629538,0.128143253
2000,50-54,1084,17563484,6.171896191,5.809905707,6.550535063,0.187457997
2000,55-59,1400,13399105,10.44845906,9.908247726,11.01046382,0.279246814
2000,60-64,1580,10720153,14.73859562,14.02073067,15.48368874,0.370789613
2000,65-69,2101,9398861,22.35377244,21.40805145,23.3305234,0.487683205
2000,70-74,2580,8746579,29.49724687,28.36990763,30.65790422,0.580726481
2000,75-79,2517,7347313,34.25742173,32.93203243,35.62247917,0.682830743
2000,80-84,1882,4921341,38.24160935,36.53321088,40.00926549,0.881508189
2000,85+,1422,4203260,33.83088365,32.09514721,35.63609839,0.897146864
2001,< 1,0,3970113,0,0,0,0
2001,1-4,0,15123657,0,0,0,0
2001,5-9,Suppressed,19962452,Suppressed,Suppressed,Suppressed,Suppressed
2001,10-14,0,20758808,0,0,0,0
2001,15-19,Suppressed,20227701,Suppressed,Suppressed,Suppressed,Suppressed
2001,20-24,Suppressed,19536435,Suppressed,Suppressed,Suppressed,Suppressed
2001,25-29,22,18634669,0.118059516,0.073986944,0.178742763,0.025170373
2001,30-34,72,20462391,0.351865039,0.27531246,0.443116012,0.041467692
2001,35-39,179,22030086,0.812525198,0.697851209,0.940665796,0.060730985
2001,40-44,366,22601240,1.619380176,1.457705516,1.794086379,0.084646358
2001,45-49,688,20501373,3.355872799,3.109763249,3.616283257,0.127941451
2001,50-54,1109,18507423,5.992190269,5.644665748,6.355512922,0.179936729
2001,55-59,1400,13833003,10.12072361,9.597457012,10.66510004,0.270487716
2001,60-64,1680,11020881,15.2437904,14.52349148,15.99057349,0.371910404
2001,65-69,2118,9463333,22.3811209,21.43800614,23.35504391,0.486316333
2001,70-74,2600,8734260,29.7678338,28.63450665,30.93452574,0.583795252
2001,75-79,2626,7386502,35.55133404,34.20445515,36.93764898,0.693758858
2001,80-84,1898,5091062,37.2810231,35.62248068,38.99683734,0.855735833
2001,85+,1491,4270572,34.91335587,33.16348279,36.73159369,0.90417558
2002,< 1,0,3910837,0,0,0,0
2002,1-4,0,15313864,0,0,0,0
2002,5-9,0,19665950,0,0,0,0
2002,10-14,0,21040663,0,0,0,0
2002,15-19,Suppressed,20386049,Suppressed,Suppressed,Suppressed,Suppressed
2002,20-24,Suppressed,20019398,Suppressed,Suppressed,Suppressed,Suppressed
2002,25-29,19,18510142,0.10264643,0.061799241,0.160294297,0.023548706
2002,30-34,55,20467339,0.268720814,0.202436914,0.349776713,0.036234307
2002,35-39,164,21551652,0.760962547,0.648953894,0.886752428,0.059421192
2002,40-44,367,22675693,1.618473138,1.457104611,1.79282913,0.08448361
2002,45-49,745,21049493,3.539277644,3.289660735,3.802814612,0.1296691
2002,50-54,1131,18560294,6.093653473,5.743645042,6.459408623,0.181195101
2002,55-59,1534,14996304,10.22918714,9.723642307,10.75419912,0.2611731
2002,60-64,1761,11442027,15.39062965,14.68011988,16.12664361,0.366755563
2002,65-69,2140,9538576,22.43521465,21.49464011,23.40635251,0.484979456
2002,70-74,2526,8663457,29.15695201,28.03088157,30.31663937,0.580130166
2002,75-79,2672,7400487,36.10573196,34.74956275,37.50126494,0.698486355
2002,80-84,2065,5246561,39.35911543,37.67964483,41.09414649,0.866134427
2002,85+,1494,4327726,34.52159402,32.7930825,36.31756611,0.893131778
2003,< 1,0,3975871,0,0,0,0
2003,1-4,0,15616575,0,0,0,0
2003,5-9,0,19620851,0,0,0,0
2003,10-14,Suppressed,21415353,Suppressed,Suppressed,Suppressed,Suppressed
2003,15-19,0,20797166,0,0,0,0
2003,20-24,Suppressed,20591688,Suppressed,Suppressed,Suppressed,Suppressed
2003,25-29,20,18771585,0.106544013,0.065079422,0.164548064,0.023823966
2003,30-34,71,20472210,0.346811605,0.270862,0.43745535,0.041158965
2003,35-39,148,21264159,0.696006835,0.588393043,0.817606625,0.057211409
2003,40-44,374,22890047,1.633897912,1.472482241,1.808178243,0.08448685
2003,45-49,712,21722676,3.27768089,3.041315244,3.527537986,0.122836285
2003,50-54,1186,19097278,6.210309134,5.861850605,6.574069119,0.180331201
2003,55-59,1673,15814557,10.57886098,10.07795622,11.09822148,0.25863717
2003,60-64,1920,12194388,15.74494759,15.0484752,16.46533897,0.359327623
2003,65-69,2172,9830796,22.09383655,21.17435147,23.04297944,0.474068639
2003,70-74,2575,8670119,29.6997077,28.56354131,30.86947511,0.585279831
2003,75-79,2739,7497842,36.53051105,35.17511066,37.92475905,0.698006926
2003,80-84,2180,5398596,40.3808694,38.70336711,42.11236301,0.8648632
2003,85+,1513,4466176,33.87685573,32.19117791,35.62791441,0.870930762
2004,< 1,Suppressed,4014258,Suppressed,Suppressed,Suppressed,Suppressed
2004,1-4,0,15771627,0,0,0,0
2004,5-9,0,19454237,0,0,0,0
2004,10-14,Suppressed,21411680,Suppressed,Suppressed,Suppressed,Suppressed
2004,15-19,0,21102552,0,0,0,0
2004,20-24,Suppressed,20845560,Suppressed,Suppressed,Suppressed,Suppressed
2004,25-29,16,19107055,0.083738703,0.047863532,0.135985396,0.020934676
2004,30-34,56,20159501,0.277784653,0.209835421,0.360725974,0.037120536
2004,35-39,174,20874649,0.83354695,0.714292898,0.967018302,0.063191031
2004,40-44,413,22925626,1.801477526,1.631903487,1.983884059,0.088644914
2004,45-49,764,22065262,3.462456054,3.221256887,3.716931919,0.125267264
2004,50-54,1223,19564668,6.251064419,5.905590704,6.611473637,0.178747817
2004,55-59,1730,16607176,10.41718351,9.932031211,10.91990138,0.250453591
2004,60-64,2009,12698128,15.82122971,15.13688427,16.5285351,0.352980137
2004,65-69,2404,10073429,23.86476343,22.92022075,24.83823097,0.486732002
2004,70-74,2714,8594104,31.57979005,30.4027518,32.79072982,0.606183787
2004,75-79,2818,7461399,37.76771622,36.38602311,39.18845924,0.711459577
2004,80-84,2218,5528504,40.11935236,38.46691311,41.82453076,0.851869644
2004,85+,1588,4545883,34.93270724,33.2355175,36.6941011,0.87661116
2005,< 1,0,3999783,0,0,0,0
2005,1-4,0,15899370,0,0,0,0
2005,5-9,Suppressed,19374703,Suppressed,Suppressed,Suppressed,Suppressed
2005,10-14,0,21195702,0,0,0,0
2005,15-19,Suppressed,21471178,Suppressed,Suppressed,Suppressed,Suppressed
2005,20-24,Suppressed,20941230,Suppressed,Suppressed,Suppressed,Suppressed
2005,25-29,21,19521407,0.107574213,0.066589794,0.164438058,0.023474618
2005,30-34,68,19707198,0.34505159,0.267945398,0.437434507,0.041843651
2005,35-39,176,20785291,0.846752639,0.726272495,0.981509609,0.063826382
2005,40-44,433,22690105,1.90832083,1.732786114,2.096818945,0.091708047
2005,45-49,786,22403209,3.508425958,3.267408097,3.76252069,0.12514141
2005,50-54,1350,20067242,6.727381869,6.373264236,7.096059208,0.183096143
2005,55-59,1864,17495609,10.65410184,10.17587416,11.14899911,0.246770869
2005,60-64,2168,13131162,16.51034387,15.82259933,17.22028324,0.354589997
2005,65-69,2310,10273382,22.48529258,21.57759976,23.4213558,0.467834831
2005,70-74,2616,8598015,30.42562731,29.27076409,31.61437913,0.594868088
2005,75-79,2699,7458837,36.18526588,34.83286665,37.57671721,0.696514763
2005,80-84,2289,5608292,40.81456529,39.15950478,42.52160313,0.853084947
2005,85+,1683,4690947,35.87761704,34.18383314,37.63362068,0.874543733
2006,< 1,0,4041738,0,0,0,0
2006,1-4,0,15897145,0,0,0,0
2006,5-9,Suppressed,19544688,Suppressed,Suppressed,Suppressed,Suppressed
2006,10-14,Suppressed,21033138,Suppressed,Suppressed,Suppressed,Suppressed
2006,15-19,Suppressed,21807709,Suppressed,Suppressed,Suppressed,Suppressed
2006,20-24,Suppressed,21036135,Suppressed,Suppressed,Suppressed,Suppressed
2006,25-29,23,20110011,0.114370897,0.07250119,0.171611745,0.023847981
2006,30-34,54,19285168,0.280007931,0.210350077,0.365349489,0.038104253
2006,35-39,174,20941233,0.830896633,0.712021758,0.963943605,0.062990111
2006,40-44,421,22302568,1.887674998,1.711643218,2.076897246,0.09199965
2006,45-49,782,22715286,3.442615691,3.205525546,3.692600573,0.123107686
2006,50-54,1334,20570873,6.484897359,6.1415302,6.842466459,0.177551846
2006,55-59,1922,18396860,10.44743505,9.985535182,10.9251896,0.238304909
2006,60-64,2166,13533253,16.00502111,15.33802103,16.69355993,0.343895921
2006,65-69,2456,10553201,23.27255967,22.36115623,24.21156615,0.469602036
2006,70-74,2669,8649826,30.85611202,29.69647727,32.04943166,0.597264794
2006,75-79,2695,7447034,36.1889042,34.83536907,37.58155291,0.69710155
2006,80-84,2274,5648117,40.26120564,38.62327186,41.95075809,0.844289806
2006,85+,1740,4865929,35.75884482,34.0982075,37.47943529,0.85725269
2007,< 1,0,4147997,0,0,0,0
2007,1-4,Suppressed,15977965,Suppressed,Suppressed,Suppressed,Suppressed
2007,5-9,0,19714611,0,0,0,0
2007,10-14,0,20841042,0,0,0,0
2007,15-19,Suppressed,22067816,Suppressed,Suppressed,Suppressed,Suppressed
2007,20-24,Suppressed,21077999,Suppressed,Suppressed,Suppressed,Suppressed
2007,25-29,20,20542698,0.097358195,0.059468523,0.150361358,0.021769954
2007,30-34,66,19170765,0.344274211,0.266261421,0.438000317,0.042377226
2007,35-39,162,20963891,0.772757309,0.658341236,0.901342003,0.060713548
2007,40-44,412,21832339,1.887108843,1.709265996,2.078429616,0.09297118
2007,45-49,815,22799761,3.574598874,3.333367533,3.82867558,0.125212737
2007,50-54,1331,21140178,6.296068084,5.962327415,6.643627745,0.172575996
2007,55-59,1924,18454772,10.42548778,9.964791626,10.90198381,0.237680663
2007,60-64,2300,14673662,15.67434223,15.04023694,16.32830347,0.326832629
2007,65-69,2583,10970235,23.54553025,22.64618362,24.47144882,0.463282902
2007,70-74,2665,8728492,30.53219273,29.38387336,31.71387782,0.591438223
2007,75-79,2730,7400363,36.89008228,35.51910873,38.30040755,0.706038365
2007,80-84,2262,5687076,39.77439373,38.15202076,41.44802083,0.836290702
2007,85+,1733,5039545,34.38802511,32.78785473,36.04609145,0.826053078
2008,< 1,0,4132735,0,0,0,0
2008,1-4,0,16138392,0,0,0,0
2008,5-9,0,19929602,0,0,0,0
2008,10-14,Suppressed,20706655,Suppressed,Suppressed,Suppressed,Suppressed
2008,15-19,Suppressed,22210880,Suppressed,Suppressed,Suppressed,Suppressed
2008,20-24,Suppressed,21180612,Suppressed,Suppressed,Suppressed,Suppressed
2008,25-29,19,20902668,0.090897487,0.054725681,0.141946961,0.020853314
2008,30-34,62,19304805,0.321163565,0.246233837,0.411716857,0.040787814
2008,35-39,175,20817463,0.84064038,0.720702299,0.974835079,0.06354644
2008,40-44,425,21375023,1.988301954,1.803737759,2.186626586,0.096446811
2008,45-49,877,22820973,3.842956214,3.592791436,4.105946845,0.129767411
2008,50-54,1458,21639474,6.737686877,6.396239975,7.092624189,0.176454225
2008,55-59,2055,18814568,10.92238738,10.45520579,11.4050642,0.240941529
2008,60-64,2542,15342495,16.56836127,15.93047947,17.22523475,0.328618329
2008,65-69,2850,11594347,24.58094449,23.68668789,25.5003158,0.460443277
2008,70-74,2771,8911332,31.09523919,29.94812664,32.27503042,0.59071179
2008,75-79,2731,7345743,37.17799547,35.79658767,38.59907408,0.711418444
2008,80-84,2381,5730359,41.55062536,39.89825649,43.25386576,0.85152591
2008,85+,1936,5195840,37.26057769,35.61913057,38.95817551,0.846831311
2009,< 1,Suppressed,4003587,Suppressed,Suppressed,Suppressed,Suppressed
2009,1-4,0,16240931,0,0,0,0
2009,5-9,0,20182499,0,0,0,0
2009,10-14,0,20660564,0,0,0,0
2009,15-19,Suppressed,22192810,Suppressed,Suppressed,Suppressed,Suppressed
2009,20-24,Suppressed,21384122,Suppressed,Suppressed,Suppressed,Suppressed
2009,25-29,28,21078228,0.132838491,0.08827007,0.191988115,0.025104115
2009,30-34,59,19645114,0.30032913,0.228624235,0.387402672,0.039099522
2009,35-39,148,20507796,0.721676771,0.610093997,0.847761372,0.059321465
2009,40-44,446,20980015,2.125832608,1.933094048,2.332586728,0.100661091
2009,45-49,889,22862245,3.888507012,3.637061622,4.152754567,0.130416339
2009,50-54,1489,22004843,6.766692223,6.427320216,7.119334348,0.17535941
2009,55-59,2098,19280603,10.88140241,10.42071641,11.35721223,0.237564821
2009,60-64,2645,16124997,16.40310383,15.7838838,17.04039698,0.318943089
2009,65-69,2989,12092377,24.71805171,23.839768,25.62041716,0.45211746
2009,70-74,2965,9140722,32.43726261,31.28009421,33.62628933,0.595705827
2009,75-79,2972,7295064,40.73987562,39.2882274,42.23146036,0.74730054
2009,80-84,2476,5727711,43.22843803,41.54231508,44.96542092,0.868748811
2009,85+,2033,5367301,37.8775105,36.24872146,39.56062893,0.840064704
2010,< 1,0,3950065,0,0,0,0
2010,1-4,0,16233907,0,0,0,0
2010,5-9,Suppressed,20328083,Suppressed,Suppressed,Suppressed,Suppressed
2010,10-14,Suppressed,20698184,Suppressed,Suppressed,Suppressed,Suppressed
2010,15-19,Suppressed,22008711,Suppressed,Suppressed,Suppressed,Suppressed
2010,20-24,Suppressed,21711544,Suppressed,Suppressed,Suppressed,Suppressed
2010,25-29,24,21132693,0.11356811,0.072764616,0.168980294,0.023181993
2010,30-34,62,20067916,0.308950865,0.236870446,0.396060739,0.039236799
2010,35-39,200,20084470,0.995794263,0.862561247,1.143780416,0.070413288
2010,40-44,453,20910582,2.166367249,1.971439961,2.375353907,0.101784812
